Point no;Nu Name;I/D;Crop;Province;Lat(-);Long (  );Cultivar;Planting date;Tillers;Plants / 10m;Row width;Ears;Moist %;Grain mass
K20E;;D;WM;EC;-31.94083; 28.67742;K2-KK 4581 BR;2017/12/15;;;0,80;18;13,30;137,23
N21A;;D;YM;EC;-31.56816; 29.14107;PANNAR;2018/01/05;0;18;0,94;12;9,70;39,58
N21B;;D;YM;EC;-31.56823; 29.14045;PANNAR;2018/01/05;;;0,94;11;12,60;27,81
N21C;;D;YM;EC;-31,56825;29,14028;PANNAR;2018/01/05;;;0,94;14;11,10;48,93
N21D;;D;YM;EC;-31.56849; 29.14044;PANNAR;2018/01/05;;;0,94;16;21,70;78,50
N21E;;D;YM;EC;-31.56847; 29.14091;PANNAR;2018/01/05;;;0,94;18;12,00;31,32
N22A;;D;YM;EC;-31.72625; 29.03651;PAN6R-680R;2017/10/13;2;25;0,92;19;11,80;39,20
N22B;;D;YM;EC;-31.72627; 29.03683;PAN6R-680R;2017/10/13;;;0,92;17;12,20;137,32
N22C;;D;YM;EC;-31.72642; 29.03695;PAN6R-680R;2017/10/13;;;0,92;18;12,70;138,36
N22D;;D;YM;EC;-31.72632; 29.03707;PAN6R-680R;2017/10/13;;;0,92;17;12,50;120,20
N22E;;D;YM;EC;-31,72635;29,03750;PAN6R-680R;2017/10/13;;;0,92;19;13,10;146,45
N23A;;D;YM;EC;-31.60165; 28.86010;ROUNDUP READY MONSANTO;2017/11/26;7;17;0,98;25;11,10;204,15
N23B;;D;YM;EC;-31.60147; 28.86022;ROUNDUP READY MONSANTO;2017/11/26;;;0,98;28;12,30;150,18
N23C;;D;YM;EC;-31.60121; 28.86004;ROUNDUP READY MONSANTO;2017/11/26;;;0,98;23;11,40;208,78
N23D;;D;YM;EC;-31.60177; 28.86025;ROUNDUP READY MONSANTO;2017/11/26;;;0,98;28;11,10;130,45
N23E;;D;YM;EC;-31.60199; 28.86020;ROUNDUP READY MONSANTO;2017/11/26;;;0,98;22;11,70;167,25
N24A;;D;WM;EC;-31.38420; 29.01534;HYBRID;2018/01/26;5;17;0,88;16;13,00;45,06
N24B;;D;WM;EC;-31.38386; 29.01559;HYBRID;2018/01/26;;;0,88;11;30,00;67,47
N24C;;D;WM;EC;-31.38372; 29.01571;HYBRID;2018/01/26;;;0,88;12;12,80;36,68
N24D;;D;WM;EC;-31.38350; 29.01602;HYBRID;2018/01/26;;;0,88;11;20,70;52,09
N24E;;D;WM;EC;-31.38357; 29.01617;HYBRID;2018/01/26;;;0,88;22;18,80;109,11
N25A;;D;YM;EC;-31.39025; 28.96173;ROUNDUP PANNAR;2017/11/14;10;32;0,88;33;17,50;74,09
N25B;;D;YM;EC;-31.39034; 28.96179;ROUNDUP PANNAR;2017/11/14;;;0,88;30;16,00;107,30
N25C;;D;YM;EC;-31.39047; 28.96210;ROUNDUP PANNAR;2017/11/14;;;0,88;33;12,90;60,35
N25D;;D;YM;EC;-31.39074; 28.96234;ROUNDUP PANNAR;2017/11/14;;;0,88;48;17,80;95,09
N25E;;D;YM;EC;-31.39056; 28.96246;ROUNDUP PANNAR;2017/11/14;;;0,88;37;15,40;71,19
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
